Amazing Screw-on Head,1,Dark Horse,Mike Mignola,Mike Mignola,Mike Mignola,,2002,No,Yes,,comic
"American: Lost in America, The",1,Dark Horse,,Mark Verheiden,Mark Merrinan,,,Yes,,,comic
"American: Lost in America, The",2,Dark Horse,,Mark Verheiden,Mark Merrinan,,,Yes,,,comic
"American: Lost in America, The",3,Dark Horse,Mike Mignola,Mark Verheiden,Mark Merrinan,,,Yes,Yes,,comic
"American: Lost in America, The",4,Dark Horse,Jim Lee,Mark Verheiden,Mark Merrinan,,,Yes,,,comic
"American: Special, The",1,Dark Horse,,Mark Verheiden,Dougie Braithwaite,,,No,,,comic
An Honest Performance,,,Will Dinski,Will Dinski,Will Dinski,,,,,,minicomic
Anarchy in the Kingdom of Heaven,,,Shihab Alen,Shihab Alen,Shihab Alen,,,,,,minicomic
Andrew Jackson Throws a Punch,,,Andrea Tsurumi,Andrea Tsurumi,Andrea Tsurumi,,,,,,minicomic
Aquaman,6,DC,Mike Mignola,Peter David,Martin Egeland,,1995,No,Yes,,comic
Arcomics Premiere,1,Arcomics,,Terrance Henry,Ralph Lumley,first lenticular cover,,Yes,Yes,,comic
Area CC,,,A. Degen,A. Degen,A. Degen,,,,,,minicomic
Armed and Dangerous,,,Bryan West,Bryan West,Bryan West,,,,,,minicomic
As You Were,1,,,,,anthology,,,,,minicomic
Astral Birth Canal,,,Reilly Hadden,Reilly Hadden,Reilly Hadden,,,,,,minicomic
Automa,1,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Automa,2,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Automa,3,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Automa,4,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Automa,5,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Automa,6,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Automa,7,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Automa,8,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Automa,9,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Automa,10,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Automa,11,Oily,Charles Forsman,Charles Forsman,Charles Forsman,,,,,,minicomic
Avengelyne/Prophet,1,Image,,,,,,,,,comic
Babybel Wax Bodysuit,,,Eric Kostuik Williams,Eric Kostuik Williams,Eric Kostuik Williams,,,,,,ogn
Backyard,,,Sam Alden,Sam Alden,Sam Alden,,,,,,minicomic
Bald Knobber,1,,Robert Sergel,Robert Sergel,Robert Sergel,,,,,,minicomic
Baldy Cereal,1,,Ricky Bardi,Ricky Bardi,Ricky Bardi,,,,,,minicomic
Ball of Shit,,,Adam Meuse,Adam Meuse,Adam Meuse,destroyed by cat piss,,,,,minicomic
Barbarian Tales,1,Pyramid,,"Mark A. Paniccia
Ragne Nass
Bill Cavalier","Mark A. Paniccia
Ragne Nass
Bill Cavalier",,,Yes,Yes,,comic
Bargirl Special,1,DC,Mike Mignola,Barbara Kesel,Barry Kitson,,1988,No,Yes,,comic
Bastard,2,Oily,Max De Radigues,Max De Radigues,Max De Radigues,,,,,,minicomic
Bat-Man Is Lost in a Woods,,,David Enos,David Enos,David Enos,,,,,,minicomic
Batman,453,DC,Mike Mignola,Peter Milligan,Kieron Dwyer,"Dark Knight, Dark City, part 2 of 3",1990,No,Yes,,comic
Batman,477,DC,,John Wagner,Cam Kennedy,,,Yes,Yes,,comic
Batman,478,DC,,John Wagner,Cam Kennedy,,,Yes,Yes,,comic
Batman,533,DC,,,,"owned as a kid
Bill Sienkowicz inks",,Yes,Yes,,comic
Batman Annual,18,DC,Mike Mignola,Doug Moench,Frederico Cueva,,1994,No,Yes,,comic
Batman Hellboy Starman,1,DC/Dark Horse,Mike Mignola,James Robinson,Mike Mignola,,1999,Yes,Yes,,comic
Batman Hellboy Starman,2,DC/Dark Horse,Mike Mignola,James Robinson,Mike Mignola,,1999,Yes,Yes,,comic
Batman''s Head,,,Nathan Bulmer,Nathan Bulmer,Nathan Bulmer,,,,,,minicomic
Battle Pope,1,Image,,Robert Kirkman,Tony Moore,,,Yes,Yes,,comic
Battle Pope,2,Image,,Robert Kirkman,Tony Moore,,,Yes,Yes,,comic
Battlestone,1,Image,,,,,,,,,comic
Battletech,5,Blackthorne,,Patrick Zircher,Cesar Magsombol,,,Yes,No,,comic
Batwang,,,Rawn Gandy,Rawn Gandy,Rawn Gandy,NOICE 2019,,,,,minicomic
Be Good,,,John Martz,John Martz,John Martz,,,,,,minicomic
Be Tight,,,Sam Spina,Sam Spina,Sam Spina,,,,,,minicomic
Beach Girls,,,Box Brown,Box Brown,Box Brown,,,,,,minicomic
"Bear, Bird, And Stag",,,Madeline Flores,Madeline Flores,Madeline Flores,,,,,,minicomic
Beard Hero,,,Kevin Cannon,Kevin Cannon,Kevin Cannon,,,,,,minicomic
Beauty and the Beast,1,Marvel,Bill Sienkiewicz,Ann Nocenti,Don Perlin,,,No,,,comic
Bedlam,1,Eclipse,,"Rick Veitch
Steve Bissette","Rick Veitch
Steve Bissette",,,Yes,No,,comic
Bee-Man,1,,Steven Arnold,Michael Kamison,Steven Arnold,,,,,,minicomic
Behold The Killbot,,,Andrea Tsurumi,Andrea Tsurumi,Andrea Tsurumi,,,,,,minicomic
Beouija,3,,Eleanor Davis,Eleanor Davis,Eleanor Davis,,,,,,minicomic
Beouija,4,,Eleanor Davis,Eleanor Davis,Eleanor Davis,,,,,,minicomic
Betsy,,,Sophie Goldstein,Sophie Goldstein,Sophie Goldstein,,,,,,minicomic
"Beyond the Grave, Vol. 3",7,Charlton,,,Steve Ditko,,,Yes,Yes,,comic
Bezoar,2,,,,,,,,,,indie
Big Deal,2,,Patrick Dean,Patrick Dean,Patrick Dean,,,,,,minicomic
Big Deal,3,,Patrick Dean,Patrick Dean,Patrick Dean,,,,,,minicomic
Big Deal,5,,Patrick Dean,Patrick Dean,Patrick Dean,,,,,,minicomic
Big Deal,10,,Patrick Dean,Patrick Dean,Patrick Dean,,,,,,minicomic
Big Deal,11,,Patrick Dean,Patrick Dean,Patrick Dean,,,,,,minicomic
Big Deal,12,,Patrick Dean,Patrick Dean,Patrick Dean,,,,,,minicomic
Big Deal,13,,Patrick Dean,Patrick Dean,Patrick Dean,,,,,,minicomic
"Bill Posey, Our Congressman",,,Zac Finger,Zac Finger,Zac Finger,,,,,,minicomic
"Bills at Jets, November 2005",,,Mike Dawson,Mike Dawson,Mike Dawson,,,,,,minicomic
Billy Johnson and his Duck are Explorers,1,,Matthew New,Matthew New,Matthew New,,,,,,minicomic
Billy Johnson and his Duck are Explorers,2,,Matthew New,Matthew New,Matthew New,,,,,,minicomic
Bio-Whale,,,Ville Kallio,Ville Kallio,Ville Kallio,,,,,,minicomic
Black Bog,,,Ben Sears,Ben Sears,Ben Sears,,,,,,minicomic
Black Condor,5,DC,,Brian Augustyn,Rags Morales,,,Yes,No,,comic
Black Ghost Apple Factory,,,Jeremy Tinder,Jeremy Tinder,Jeremy Tinder,,,,,,minicomic
"Black Hood Annual, The",1,Impact,,"Mark Wheatley
Heff Munson
Dave Rawson
Pat McGreal
Rick Oliver
Adam Blaustein","Leopoldo Duranona
Trevor Von Eeddon
Turner Allen",,,Yes,No,,comic
"Black Hood, The",1,Red Circle,,"Robin Snyder
Alex Toth
...","Gray Morrow
Doug Wildey
Al McWilliams
Dan Spiegle
Alex Toth",,,Yes,Yes,,comic
"Black Hood, The",2,Red Circle,Alex Toth,"Robin Snyder
Alex Toth
...","Gray Morrow
Doug Wildey
Al McWilliams
Dan Spiegle
Alex Toth",,,Yes,Yes,,comic
"Black Hood, The",3,Red Circle,Alex Toth,"Robin Snyder
Alex Toth
...","Gray Morrow
Doug Wildey
Al McWilliams
Dan Spiegle
Alex Toth",,,Yes,Yes,,comic
Black Is the Color,,,Julia Gfrorer,Julia Gfrorer,Julia Gfrorer,,,,,,minicomic
Black Light,,,Julia Gfrorer,Julia Gfrorer,Julia Gfrorer,,,,,,minicomic
Black Panther,6,Marvel,,Jack Kirby,Jack Kirby,,,No,,,comic
Black Phantom,1,Americomics,,Gardner Fox,Frank Bolle,1954 reprint,,Yes,No,,comic
Blackball Comics,1,Blackball,,,"Keith Giffen
Kevin O''Neill
Simon Bisley",,,No,,,comic
Blades & Lazers,2,,Ben Marra,Ben Marra,Ben Marra,,,,,,minicomic
Blammo,1,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Blammo,2,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Blammo,3,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Blammo,4,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Blammo,5,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Blammo,6,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Blammo,7,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Blammo,8,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Blammo,9,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Blammo,10,,Noah Van Sciver,Noah Van Sciver,Noah Van Sciver,,,,,,minicomic
Blanche Goes to Paris,,,Rick Geary,Rick Geary,Rick Geary,,,,,,minicomic
Blast Furnace Funnies,,,Frank Santoro,Frank Santoro,Frank Santoro,,,,,,minicomic
Blast-off,1,Harvey Thriller,,"Joe Simon
Jack Kirby","Joe Simon
Jack Kirby",,,No,,,comic
Blindspot,3,,Joseph Remnant,Joseph Remnant,Joseph Remnant,,,,,,minicomic
Blinking,,,Warren Craghead,Warren Craghead,Warren Craghead,,,,,,minicomic
Blood Orange,,,,,,,,,,,comic
Blood Visions,,Oily,Zach Worton,Zach Worton,Zach Worton,,,,,,minicomic
Bloodstrike,1,Image,,"Rob Liefeld
Eric Stephenson",Dan Fraga,,,1-13,Yes,,comic
